wavelength_nm,relative_power
380,0.4996
385,0.5239
390,0.5476
395,0.6153
400,0.8274
405,0.9180
410,0.9346
415,0.8680
420,1.0492
425,1.1714
430,1.1782
435,1.1490
440,1.1592
445,1.1570
450,1.1889
455,1.1783
460,1.1782
465,1.1601
470,1.1579
475,1.1349
480,1.1244
485,1.1105
490,1.0873
495,1.0817
500,1.0784
505,1.0762
510,1.0666
515,1.0600
520,1.0487
525,1.0399
530,1.0385
535,1.0264
540,1.0152
545,1.0042
550,1.0000
555,0.9609
560,0.9536
565,0.9459
570,0.9201
575,0.9038
580,0.8951
585,0.8752
590,0.8675
595,0.8628
600,0.8275
605,0.8248
610,0.8197
615,0.8101
620,0.8026
625,0.7882
630,0.7829
635,0.7596
640,0.7391
645,0.7342
650,0.7168
655,0.6990
660,0.7024
665,0.6920
670,0.6876
675,0.6759
680,0.6599
685,0.6527
690,0.6364
695,0.6234
700,0.6174
705,0.6051
710,0.5964
715,0.5887
720,0.5727
725,0.5590
730,0.5430
735,0.5309
740,0.5263
745,0.5165
750,0.5056
755,0.4889
760,0.4776
765,0.4707
770,0.4591
775,0.4493
780,0.4407



