wavelength_nm,relative_power
400,0.0114
401,0.0125
402,0.0138
403,0.0151
404,0.0166
405,0.0183
406,0.0201
407,0.0221
408,0.0243
409,0.0267
410,0.0293
411,0.0322
412,0.0354
413,0.0389
414,0.0427
415,0.0469
416,0.0514
417,0.0563
418,0.0616
419,0.0673
420,0.0735
421,0.0801
422,0.0872
423,0.0948
424,0.1030
425,0.1117
426,0.1210
427,0.1309
428,0.1414
429,0.1525
430,0.1642
431,0.1765
432,0.1894
433,0.2028
434,0.2167
435,0.2311
436,0.2459
437,0.2610
438,0.2764
439,0.2920
440,0.3076
441,0.3232
442,0.3385
443,0.3535
444,0.3679
445,0.3817
446,0.3946
447,0.4065
448,0.4172
449,0.4266
450,0.4345
451,0.4408
452,0.4453
453,0.4479
454,0.4486
455,0.4473
456,0.4439
457,0.4386
458,0.4314
459,0.4224
460,0.4117
461,0.3996
462,0.3861
463,0.3715
464,0.3559
465,0.3396
466,0.3228
467,0.3058
468,0.2887
469,0.2718
470,0.2553
471,0.2394
472,0.2243
473,0.2102
474,0.1973
475,0.1857
476,0.1754
477,0.1667
478,0.1594
479,0.1538
480,0.1497
481,0.1473
482,0.1464
483,0.1471
484,0.1493
485,0.1530
486,0.1580
487,0.1644
488,0.1721
489,0.1810
490,0.1912
491,0.2026
492,0.2152
493,0.2289
494,0.2438
495,0.2597
496,0.2767
497,0.2947
498,0.3137
499,0.3336
500,0.3544
501,0.3759
502,0.3981
503,0.4210
504,0.4444
505,0.4683
506,0.4925
507,0.5169
508,0.5415
509,0.5661
510,0.5906
511,0.6149
512,0.6389
513,0.6624
514,0.6853
515,0.7075
516,0.7288
517,0.7492
518,0.7685
519,0.7866
520,0.8034
521,0.8189
522,0.8330
523,0.8456
524,0.8567
525,0.8661
526,0.8739
527,0.8799
528,0.8842
529,0.8867
530,0.8874
531,0.8863
532,0.8834
533,0.8788
534,0.8725
535,0.8646
536,0.8551
537,0.8442
538,0.8318
539,0.8182
540,0.8034
541,0.7875
542,0.7705
543,0.7527
544,0.7340
545,0.7147
546,0.6947
547,0.6743
548,0.6535
549,0.6325
550,0.6114
551,0.5902
552,0.5692
553,0.5484
554,0.5279
555,0.5079
556,0.4885
557,0.4697
558,0.4517
559,0.4345
560,0.4183
561,0.4031
562,0.3890
563,0.3760
564,0.3642
565,0.3537
566,0.3445
567,0.3366
568,0.3299
569,0.3246
570,0.3205
571,0.3177
572,0.3160
573,0.3155
574,0.3160
575,0.3174
576,0.3197
577,0.3228
578,0.3266
579,0.3310
580,0.3359
581,0.3412
582,0.3468
583,0.3526
584,0.3585
585,0.3644
586,0.3702
587,0.3759
588,0.3813
589,0.3864
590,0.3910
591,0.3952
592,0.3989
593,0.4021
594,0.4048
595,0.4069
596,0.4085
597,0.4096
598,0.4102
599,0.4104
600,0.4102
601,0.4096
602,0.4087
603,0.4075
604,0.4060
605,0.4042
606,0.4021
607,0.3997
608,0.3970
609,0.3940
610,0.3907
611,0.3870
612,0.3830
613,0.3786
614,0.3738
615,0.3686
616,0.3630
617,0.3570
618,0.3506
619,0.3438
620,0.3367
621,0.3293
622,0.3216
623,0.3137
624,0.3056
625,0.2973
626,0.2890
627,0.2806
628,0.2722
629,0.2638
630,0.2556
631,0.2475
632,0.2396
633,0.2320
634,0.2246
635,0.2176
636,0.2109
637,0.2045
638,0.1985
639,0.1928
640,0.1875
641,0.1825
642,0.1779
643,0.1736
644,0.1697
645,0.1661
646,0.1628
647,0.1598
648,0.1570
649,0.1545
650,0.1522
651,0.1502
652,0.1483
653,0.1466
654,0.1451
655,0.1438
656,0.1426
657,0.1415
658,0.1405
659,0.1397
660,0.1389
661,0.1382
662,0.1376
663,0.1370
664,0.1365
665,0.1360
666,0.1356
667,0.1352
668,0.1349
669,0.1346
670,0.1343
671,0.1341
672,0.1339
673,0.1338
674,0.1337
675,0.1336
676,0.1336
677,0.1336
678,0.1336
679,0.1336
680,0.1337
681,0.1338
682,0.1339
683,0.1340
684,0.1342
685,0.1344
686,0.1346
687,0.1348
688,0.1350
689,0.1353
690,0.1355
691,0.1358
692,0.1361
693,0.1364
694,0.1367
695,0.1370
696,0.1373
697,0.1376
698,0.1379
699,0.1382
700,0.1385
