wavelength_nm,relative_power
380,0.02
385,0.03
390,0.04
395,0.06
400,0.10
405,0.18
410,0.32
415,0.52
420,0.72
425,0.88
430,0.96
435,1.00
440,0.98
445,0.92
450,0.85
455,0.75
460,0.64
465,0.52
470,0.42
475,0.35
480,0.32
485,0.34
490,0.40
495,0.48
500,0.56
505,0.64
510,0.71
515,0.77
520,0.82
525,0.86
530,0.89
535,0.91
540,0.92
545,0.92
550,0.91
555,0.90
560,0.88
565,0.85
570,0.82
575,0.78
580,0.74
585,0.70
590,0.66
595,0.62
600,0.58
605,0.54
610,0.50
615,0.46
620,0.42
625,0.38
630,0.35
635,0.32
640,0.29
645,0.26
650,0.24
655,0.22
660,0.20
665,0.18
670,0.16
675,0.15
680,0.14
685,0.13
690,0.12
695,0.11
700,0.10



