wavelength_nm,relative_power
380,0.01
385,0.02
390,0.03
395,0.04
400,0.08
405,0.15
410,0.28
415,0.45
420,0.62
425,0.76
430,0.85
435,0.90
440,0.88
445,0.82
450,0.74
455,0.65
460,0.55
465,0.46
470,0.38
475,0.34
480,0.34
485,0.38
490,0.45
495,0.54
500,0.62
505,0.70
510,0.77
515,0.83
520,0.87
525,0.90
530,0.92
535,0.94
540,0.95
545,0.96
550,0.97
555,0.98
560,0.99
565,1.00
570,1.00
575,0.99
580,0.98
585,0.96
590,0.94
595,0.91
600,0.88
605,0.85
610,0.81
615,0.77
620,0.73
625,0.69
630,0.65
635,0.61
640,0.57
645,0.53
650,0.50
655,0.47
660,0.44
665,0.41
670,0.38
675,0.36
680,0.34
685,0.32
690,0.30
695,0.28
700,0.26



